"shortTerm","longTerm","totalReturns","totalTrades","recommendedDifference"
30,178,0.1451088061826318,9,0.003
30,178,0.1451088061826318,9,0.003
30,179,0.08019447797725193,11,0.003
30,179,0.08019447797725193,11,0.003
30,180,0.08019447797725193,11,0.003
30,180,0.08019447797725193,11,0.003
30,181,0.08019447797725193,11,0.003
30,181,0.08019447797725193,11,0.003
30,182,0.10838248254355645,9,0.003
30,182,0.10838248254355645,9,0.003
30,183,0.20023712737127378,7,0.003
30,183,0.20023712737127378,7,0.003
30,184,0.20023712737127378,7,0.003
30,184,0.20023712737127378,7,0.003
30,185,0,5,0.003
30,186,0,4,0.003
30,187,0.11155149051490518,6,0.003
30,187,0.11155149051490518,6,0.003
30,188,0.11155149051490518,6,0.003
30,188,0.11155149051490518,6,0.003
30,189,0.11155149051490518,7,0.003
30,189,0.11155149051490518,7,0.003
30,190,0.11155149051490518,7,0.003
30,190,0.11155149051490518,7,0.003
30,191,0.11155149051490518,8,0.003
30,191,0.11155149051490518,8,0.003
30,192,0.11155149051490518,8,0.003
30,192,0.11155149051490518,8,0.003
30,193,0.19739159891598929,8,0.003
30,193,0.19739159891598929,8,0.003
30,194,0.19739159891598929,8,0.003
30,194,0.19739159891598929,8,0.003
30,195,0.19739159891598929,8,0.003
30,195,0.19739159891598929,8,0.003
30,196,0.19739159891598929,7,0.003
30,196,0.19739159891598929,7,0.003
30,197,0.12895901354061357,8,0.003
30,197,0.12895901354061357,8,0.003
30,198,0.12394812394812396,9,0.003
30,198,0.12394812394812396,9,0.003
30,199,0.12394812394812396,9,0.003
30,199,0.12394812394812396,9,0.003
30,200,0.13707135044714666,7,0.003
30,200,0.13707135044714666,7,0.003
30,201,0.13707135044714666,7,0.003
30,201,0.13707135044714666,7,0.003
30,202,0.13707135044714666,8,0.003
30,202,0.13707135044714666,8,0.003
30,203,0.08011031902196707,10,0.003
30,203,0.08011031902196707,10,0.003
30,204,0.08011031902196707,9,0.003
30,204,0.08011031902196707,9,0.003
30,205,0.10809782248990675,7,0.003
30,205,0.10809782248990675,7,0.003
30,206,0.14332384525811878,5,0.003
30,206,0.14332384525811878,5,0.003
30,207,0.14332384525811878,5,0.003
30,207,0.14332384525811878,5,0.003
30,208,0.16323052485273684,6,0.003
30,208,0.16323052485273684,6,0.003
30,209,0.09959295783969818,6,0.003
30,209,0.09959295783969818,6,0.003
30,210,0.10890655454087558,8,0.003
30,210,0.10890655454087558,8,0.003
