shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
5,12,0.398859500388562,33,0.001
23,78,0.398287367895011,10,0.002
22,58,0.398097122297856,18,0.002
23,51,0.397882563975163,25,0.002
62,79,0.395163296327528,38,0.002
5,76,0.394519247400323,20,0.003
8,84,0.393741589898237,8,0.001
49,76,0.392911481243798,15,0.001
15,31,0.392880987633021,15,0.001
22,33,0.392360095941071,31,0.001
14,31,0.391805104476724,17,0.001
30,63,0.390316167398489,63,0.003
9,65,0.390004904343802,7,0.001
46,81,0.389956499930491,17,0.001
23,71,0.389804697171615,8,0.001
31,70,0.38869843910249,14,0.001
22,40,0.387711658118633,11,0.001
29,84,0.38770005338587,10,0.001
19,81,0.387194501140028,22,0.003
20,62,0.386658700990534,6,0.001
4,22,0.384935961040983,14,0.001
28,51,0.383807309655185,19,0.001
59,82,0.383704449392159,21,0.001
23,31,0.383085104012836,41,0.001
37,59,0.38229499190403,25,0.001
16,54,0.381894490733224,8,0.001
31,68,0.381698423946166,33,0.002
13,81,0.380891873564367,8,0.001
32,78,0.380318437146978,13,0.001
15,47,0.379849445735031,6,0.001
26,41,0.379740284781687,22,0.001
33,61,0.379696302471131,29,0.001
42,80,0.379398328172946,21,0.001
29,66,0.378415301711426,35,0.002
55,79,0.377639320248463,18,0.001
3,51,0.376962651401301,8,0.001
11,58,0.37585453035818,8,0.001
31,83,0.375133932634206,9,0.001
33,73,0.374752522997694,12,0.001
3,36,0.37437716941502,15,0.002
34,61,0.373675088891397,29,0.001
49,62,0.372705515141989,22,0.001
7,27,0.372523895496,12,0.001
21,80,0.370732276584951,7,0.001
22,79,0.369912702147538,17,0.003
6,26,0.36867446951484,13,0.001
31,69,0.368665461888272,11,0.001
13,70,0.368569586414882,7,0.001
21,70,0.368140935037679,5,0.001
12,21,0.368097090449417,28,0.001
11,23,0.36738518408586,15,0.001
64,78,0.366635413797227,21,0.001
20,33,0.366550053675697,24,0.001
32,76,0.366379338997987,10,0.001
32,65,0.365950813787672,51,0.002
27,51,0.365689621133306,18,0.001
4,25,0.365675841456651,9,0.001
33,71,0.365459088628796,15,0.001
14,28,0.3650167521742,49,0.003
27,71,0.364642869858515,8,0.001
23,49,0.364234089818455,13,0.001
29,37,0.363969576462116,40,0.001
9,79,0.363636412489293,7,0.001
7,23,0.362792453801042,11,0.001
7,28,0.361736743115264,10,0.001
54,82,0.361033387964125,18,0.001
34,75,0.35999596266103,12,0.001
28,43,0.359433890098861,15,0.001
16,81,0.359191625703433,5,0.001
32,62,0.358664016480619,36,0.001
11,62,0.358062981907533,5,0.001
14,29,0.356798329416899,28,0.002
16,22,0.356318057620123,38,0.001
26,63,0.355209211167583,26,0.002
15,22,0.354735508638224,31,0.001
22,32,0.35469689325367,30,0.001
25,72,0.354561095192373,15,0.002
22,43,0.354528683146989,24,0.001
12,74,0.354109068318456,5,0.001
16,20,0.35375719216267,72,0.001
12,71,0.353718663338263,8,0.001
33,74,0.353348724116616,9,0.001
36,60,0.352896452347501,33,0.001
29,62,0.352633358801689,55,0.003
13,49,0.351844755018592,11,0.001
12,63,0.351503342697451,10,0.001
28,70,0.35137307507666,23,0.002
64,79,0.351021126919429,47,0.002
34,59,0.351000616373025,27,0.001
18,78,0.3497819276901,16,0.003
57,79,0.349507726728371,39,0.002
31,39,0.34913042317266,41,0.001
16,32,0.348642288940763,18,0.001
26,65,0.34860050026129,10,0.001
25,74,0.348183107560806,14,0.002
33,79,0.347987838857745,24,0.002
32,66,0.347701972960757,20,0.001
15,84,0.347442868848715,12,0.002
5,30,0.346584501193663,12,0.001
7,63,0.346070112262439,5,0.001
17,21,0.345367067068147,63,0.001
42,83,0.345199997736622,20,0.001
16,83,0.344352078542976,10,0.001
7,60,0.343763851151695,7,0.001
24,36,0.343180011278259,26,0.001
28,80,0.342869752158045,6,0.001
29,78,0.342420926367207,10,0.001
22,45,0.341582890920061,30,0.002
32,73,0.341363734781655,26,0.002
38,60,0.340307507686627,25,0.001
29,79,0.340213400520582,11,0.001
39,74,0.340036815821063,29,0.001
32,39,0.339750312002066,82,0.002
32,69,0.339361484728322,33,0.002
16,80,0.339052600725363,10,0.002
25,62,0.338597250319639,48,0.004
10,69,0.338585186042436,17,0.002
35,82,0.338025905579752,25,0.002
4,69,0.33682263814219,15,0.002
7,21,0.336564466193316,14,0.001
21,71,0.336128352025033,9,0.002
65,79,0.335947160177387,23,0.001
23,44,0.335782610182569,36,0.002
18,59,0.335485074961581,7,0.001
28,72,0.335371274890342,14,0.001
22,49,0.33503556284257,26,0.002
23,80,0.334865027764672,12,0.002
6,54,0.334216462699964,7,0.001
6,65,0.333686595956201,8,0.001
22,47,0.33366476225759,29,0.002
25,55,0.333664329166897,31,0.002
20,73,0.333154490975482,5,0.001
14,27,0.333151509325218,60,0.003
14,84,0.33256184073796,9,0.001
25,63,0.332488668450403,6,0.001
13,78,0.332074918339002,13,0.002
35,80,0.3315175729076,13,0.001
12,78,0.330920993352163,7,0.001
24,56,0.330821880541996,48,0.003
9,59,0.330353159063642,9,0.001
12,44,0.329919258179047,7,0.001
15,64,0.32981484024613,6,0.001
26,68,0.329427460750797,11,0.001
30,70,0.328914329549616,28,0.002
13,79,0.328863316717652,12,0.002
29,83,0.328497101944809,11,0.001
9,78,0.328054273800994,5,0.001
56,84,0.328038842620111,33,0.002
30,73,0.327827180319717,14,0.001
33,78,0.327769609042683,13,0.001
46,84,0.327468759643639,15,0.001
33,40,0.327455559154837,39,0.001
38,58,0.326980018369937,26,0.001
20,37,0.325848172276599,23,0.001
11,52,0.325745883973206,11,0.002
32,38,0.325608481313296,102,0.002
24,73,0.325491122027774,9,0.001
56,79,0.325444220768061,17,0.001
31,67,0.32516069005677,37,0.002
8,81,0.324183671357777,11,0.002
24,74,0.323953421135533,12,0.002
13,25,0.323536575234229,42,0.002
31,62,0.323171458458193,51,0.002
50,75,0.322432470876107,15,0.001
31,72,0.320288030973935,53,0.004
12,18,0.319838210124019,40,0.001
24,52,0.319821624939208,14,0.001
20,76,0.319444459257207,7,0.002
30,40,0.3193461639353,31,0.001
60,82,0.319173691947288,19,0.001
63,80,0.318606601231469,76,0.003
46,82,0.31818860598169,61,0.003
59,79,0.318165116714659,23,0.001
29,46,0.31755343644372,14,0.001
13,26,0.317241258378822,57,0.003
14,82,0.317154932797336,13,0.002
32,59,0.316777026989384,52,0.002
12,64,0.31675578673556,16,0.003
23,76,0.316405273118016,14,0.002
10,80,0.315736580102864,7,0.001
6,48,0.315666863844524,6,0.001
51,83,0.315656876029929,21,0.001
27,53,0.314607666839626,15,0.001
5,74,0.31352396172346,14,0.002
34,74,0.313297306095158,14,0.001
21,34,0.3128655978463,22,0.001
61,81,0.311562285484218,65,0.003
34,72,0.311541318588067,21,0.001
39,57,0.31139613401854,30,0.001
27,52,0.311225363601288,31,0.002
13,28,0.3112063398072,78,0.005
16,79,0.311181738634462,10,0.002
17,66,0.310285228982187,7,0.001
39,75,0.310178966794526,31,0.001
43,82,0.310053978299623,14,0.001
54,74,0.309708870256343,16,0.001
18,80,0.309456958463907,32,0.005
17,50,0.309154755755895,19,0.002
13,29,0.308627813486142,54,0.004
33,58,0.307964098364223,25,0.001
22,46,0.307608894232401,17,0.001
41,79,0.307435982555487,22,0.001
45,82,0.307431595318237,75,0.004
27,67,0.307308557184591,8,0.001
23,79,0.305855898483453,11,0.001
26,58,0.305731268894189,18,0.001
25,51,0.305517573691151,12,0.001
40,59,0.305250852539696,22,0.001
7,81,0.305087930862996,9,0.001
23,55,0.304920178648954,59,0.004
41,81,0.304761910236656,22,0.001
26,75,0.304601938327366,7,0.001
21,55,0.304112891065638,12,0.001
32,40,0.304061648560996,36,0.001
25,43,0.303974650392436,20,0.001
48,82,0.303738725130652,20,0.001
3,81,0.303136564937584,13,0.002
13,50,0.303022706787345,6,0.001
29,72,0.302584797381183,13,0.001
37,58,0.301764398449434,26,0.001
4,83,0.301665193946099,8,0.001
29,45,0.301583742579384,18,0.001
44,78,0.301578782146959,20,0.001
5,46,0.300691671129992,11,0.001
16,28,0.300104617734159,22,0.001
43,83,0.299193628084268,22,0.001
21,46,0.298796135634585,46,0.003
8,23,0.298573767183037,22,0.002
24,70,0.297528194666045,6,0.001
26,53,0.297464755750163,16,0.001
20,47,0.297251624552463,27,0.002
12,65,0.296566220000532,18,0.003
22,44,0.296301768656221,54,0.003
41,75,0.295932036756102,21,0.001
23,35,0.295869724256773,23,0.001
28,65,0.294885128931626,17,0.001
23,67,0.294294286084954,8,0.001
34,78,0.294065078442907,13,0.001
63,84,0.293998041179863,22,0.001
23,59,0.293847399737541,35,0.003
28,69,0.293681375083293,14,0.001
16,47,0.293522316354379,9,0.001
67,80,0.29292452834461,27,0.001
22,83,0.292908053227181,17,0.002
5,43,0.292888972967232,23,0.002
21,77,0.292885263509116,25,0.004
23,45,0.292739616728081,35,0.002
9,84,0.292577858092304,22,0.003
9,22,0.292433709233518,15,0.001
16,30,0.292258129865982,38,0.002
34,38,0.292198321170219,79,0.001
11,64,0.29215686854784,13,0.002
56,80,0.292060693729315,19,0.001
13,77,0.291569631338395,10,0.001
14,20,0.291392007166455,42,0.001
15,60,0.291225650856553,15,0.001
22,80,0.291113393268278,13,0.002
8,64,0.290898339406687,9,0.001
20,48,0.290882335588843,25,0.002
4,81,0.290492510539254,16,0.002
56,81,0.290065927714125,17,0.001
13,30,0.2900610194421,16,0.001
25,75,0.289990706399297,14,0.002
53,81,0.28974445862644,14,0.001
13,19,0.289580043888295,38,0.001
31,71,0.289393571054602,15,0.001
33,81,0.289276765925474,12,0.001
11,68,0.289236892668143,4,0.001
22,30,0.288995626114353,36,0.001
33,38,0.288550305119408,123,0.002
27,34,0.287512311520562,55,0.001
16,82,0.287208119709782,19,0.003
19,80,0.286920475215009,10,0.002
8,42,0.286887511612653,15,0.001
22,41,0.286867912835594,35,0.002
44,84,0.286825836165692,15,0.001
38,57,0.286640593809612,27,0.001
8,82,0.286589919384066,29,0.004
28,64,0.286378512121662,64,0.004
17,79,0.28605255135788,21,0.004
14,19,0.285667565475054,54,0.001
33,39,0.284969543783669,108,0.002
30,45,0.284732027356895,15,0.001
